Time,fuelConsumption,HFO,shaftSpeed,speedWater,heading,rudderAngle,TWS,TWD,temp,meanDraft
2017-07-06 13:15:00,0.0,0.0,84.87883673940372,15.60744860215888,167.74168746623673,358.025169192793,6.675341148577384,314.22443378866336,20.28307101801556,2.874423826021085
2017-07-06 14:00:00,0.0,0.0,84.86830012600724,15.776289137112158,168.03423884521155,357.9674472363894,7.034934072846166,308.61547709871866,20.36086463719164,2.8773379343012
2017-07-06 15:00:00,0.0,0.0,84.87497204746015,15.707046479683047,152.4965065785436,358.6057299295079,7.778713684573773,303.56322147423003,20.53443683808393,2.882919524832279
2017-07-06 16:00:00,0.0,0.0,84.8674458516784,15.723441798824409,128.6010485580193,358.86469401585833,8.508142760078867,300.737464493011,20.641539404342492,2.886406053072785
2017-07-06 17:00:00,0.0,0.0,84.86453453842921,15.692470603237185,107.9451652473319,358.951153298253,8.541663901920678,302.9034057677886,20.66217594432146,2.887448864031286
2017-07-06 18:00:00,0.0,0.0,84.848977308173,15.816611498483676,107.00366380764255,358.88628383575536,11.917176727229132,321.1057069095,20.881457290039062,2.887698404899356
2017-07-06 19:00:00,0.0,0.0,84.84153764302215,15.7874015771869,106.96229368553928,358.8792658116566,12.076988152652168,312.4117733870442,21.08508765075686,2.888011935983173
2017-07-06 20:00:00,0.0,0.0,84.84686292338358,15.84343507351419,106.41733349045668,358.9718387487843,11.637000532496268,304.714842202404,21.072726005554216,2.887485835191094
2017-07-06 21:00:00,0.0,0.0,84.84164166820348,15.83238285791404,109.52123518459656,358.99007988194944,11.963462615388652,301.92731936739386,21.166115178731275,2.887314781246354
2017-07-06 22:00:00,0.0,0.0,84.8538387960131,15.838177212203377,106.70757514088857,358.8421172306848,12.918427886947915,303.4969736329714,21.237868608940403,2.888232055423136
2017-07-06 23:00:00,0.0,0.0,84.8685169151492,15.832230231944074,102.28860081459013,359.1562040340352,12.320727920472365,306.5171605230241,21.10118009512894,2.889215913020619
2017-07-07 00:00:00,0.0,0.0,84.8428822665774,15.835498963637376,88.62392321381256,359.4256099179227,11.305856853779671,314.010477997236,21.31999464431459,2.891762301319818
2017-07-07 01:00:00,0.0,0.0,84.86533491071694,15.75703130927475,90.89181353877883,359.04296824533134,9.087311672652447,310.677803620932,21.00633026871867,2.8901607154768665
2017-07-07 02:00:00,0.0,0.0,84.8067188059662,15.6188096554746,89.9488046090501,358.8422184762072,6.122669464871497,316.5743404118916,20.1718146924506,2.889438932115527
2017-07-07 03:00:00,0.0,0.0,78.15289976467571,14.473315657378317,86.40854202908429,359.294705516303,4.813145138614332,300.83312884124973,19.21743809029482,2.8853137153044606
2017-07-07 04:00:00,0.0,0.0,74.96943063162595,13.911579118286264,73.45274293518591,359.10108494255564,6.823875825245644,272.42078065516085,18.368651288870524,2.8807464445838975
2017-07-07 05:00:00,0.0,0.0,83.12698572723335,15.425135891538844,78.97343170658498,358.94287298250214,10.209452797424948,273.4908080265364,19.9156840206706,2.889521021529404
2017-07-07 06:00:00,0.0,0.0,84.85301899664337,15.941780579237737,81.14246274858357,358.8950453012073,13.769790638900352,266.8317761036269,20.99314435341057,2.891382649547525
2017-07-07 07:00:00,0.0,0.0,84.85488853277627,15.80414681749614,83.61491320048059,358.56278224230454,13.931553601233755,271.7702416659253,21.73969637491865,2.891722382837094
2017-07-07 08:00:00,0.0,0.0,84.84251185832647,15.87379524677005,80.93684482030459,358.7688040416235,11.559961962105872,276.2972849754665,22.04636849372565,2.89299312210665
2017-07-07 09:00:00,0.0,0.0,84.42507520018222,15.998360783601433,80.0376559404693,358.9881076158076,9.14428601293208,280.18981266404217,22.10947812996721,2.892074409378398
2017-07-07 10:00:00,0.0,0.0,83.82868073775964,15.788557848537668,79.35888403623326,359.0382626771703,7.620486723736895,281.841105025633,21.99593276153564,2.881822770848158
2017-07-07 11:00:00,0.0,0.0,83.8620235946772,15.58800694833574,78.78481041010085,358.0727552274693,7.521542692386518,272.7827654851161,21.7435022644043,2.8783457796197496
2017-07-07 12:00:00,0.0,0.0,83.84725547306053,15.378947997392068,83.52824067087737,357.7558966027777,9.960506170451142,270.05229689601947,21.73806861728201,2.8777945658642166
2017-07-07 13:00:00,0.0,0.0,83.85042383811597,15.4074434271921,82.77145787961013,358.1680491603468,9.448276078819664,266.1701557235327,21.90789719626514,2.876982938929234
2017-07-07 14:00:00,0.0,0.0,82.24347398325017,15.394995104524984,79.07198435578239,358.3804871934386,7.859371167017034,264.1878587622185,21.74057416120411,2.8766537439453876
2017-07-07 15:00:00,0.0,0.0,81.85292500406686,15.222009694360226,80.88755698492832,357.3665818344314,6.846764949655023,268.5399796726551,21.90884843484309,2.862550557287544
2017-07-07 16:00:00,0.0,0.0,81.85347864467968,15.179936680311558,79.17176839139822,357.9389511338908,6.598657360832912,283.1345135236677,22.442486382812547,2.8437043796927104
2017-07-07 17:00:00,0.0,0.0,82.3030073815257,15.399025770048066,77.30000623072411,358.49607764362304,6.91307491991716,294.4991281130109,22.78021277018229,2.845343996704936
2017-07-07 18:00:00,0.0,0.0,83.7706228642588,15.585779710084942,79.07231119546788,358.4232351392345,11.965230596713823,257.783329463262,22.97590453196966,2.846602473634256
2017-07-07 19:00:00,0.0,0.0,83.79819089366805,15.547137760876351,80.19519061369938,358.19231662103886,14.28704572868896,260.6382026736472,22.90384710807291,2.8458850699774625
2017-07-07 20:00:00,0.0,0.0,83.81187832392526,15.69556384717816,83.93539974774596,357.845623849359,12.497865252732138,259.58858228503954,22.844917015642523,2.841895612679779
